0,CRUK0062
1,AML-73-001
2,MED012
3,AML-55-001
4,MED001
5,CRUK0071
6,CRUK0065
7,UMM069
8,K448
9,TN6
10,CRUK0029
11,TN7
12,TN5
13,PD9852
14,TN4
15,AML-02-001
16,TN1
17,AML-35-001
18,TN3
19,TN2
20,PD9694
21,AML-16-001
22,TN8
23,K153
24,PD9849
25,AML-77-001
26,AML-05-001
27,UMM065
28,UMM059
29,UMM064
30,MED027
31,CRUK0096
32,UMM066
33,K136
34,MED024
35,AML-33-001
36,K255
37,MED034
38,UMM063
39,UMM062
40,K252
41,MED023
42,UMM061
0#2,CRUK0062#2
1#2,AML-73-001#2
10#2,CRUK0029#2
11#2,TN7#2
12#2,TN5#2
13#2,PD9852#2
14#2,TN4#2
15#2,AML-02-001#2
16#2,TN1#2
17#2,AML-35-001#2
18#2,TN3#2
19#2,TN2#2
2#2,MED012#2
20#2,PD9694#2
21#2,AML-16-001#2
22#2,TN8#2
23#2,K153#2
24#2,PD9849#2
25#2,AML-77-001#2
26#2,AML-05-001#2
27#2,UMM065#2
28#2,UMM059#2
29#2,UMM064#2
3#2,AML-55-001#2
30#2,MED027#2
31#2,CRUK0096#2
32#2,UMM066#2
33#2,K136#2
34#2,MED024#2
35#2,AML-33-001#2
36#2,K255#2
37#2,MED034#2
38#2,UMM063#2
39#2,UMM062#2
4#2,MED001#2
40#2,K252#2
41#2,MED023#2
42#2,UMM061#2
5#2,CRUK0071#2
6#2,CRUK0065#2
7#2,UMM069#2
8#2,K448#2
9#2,TN6#2
